Rupaul's Drag Race most followed Queens on Instagram:,,,,,,,,,,,,10 biggest gains of the week,,,,,,Dragula's most followed Queens on Instagram:,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Rank:,Queen:,Followers:,Season:,,,Verified:,,Season 1,,All Stars 1,,,,,,,,Rank:,Queen:,Followers:,Season:,Verified:,,Season 1
82,Jaidynn Diore Fierce,130K,,,,,Down 1,,,,,,,,,,,,,,,,,
83,Coco Montrese,129K,,,,,,,,,,,,,,,,,,,,,,
84,Kandy Ho,127K,,,,,,,,,,,,,,,,,,,,,,
85,Darienne LAke,123K,,,,,,,,,,,,,,,,,,,,,,
86,Jade Jolie,120K,,,,,,,,,,,,,,,,,,,,,,
87,Delta Work,116K,,,,,Up 1,,,,,,,,,,,,,,,,,
88,Alexis Mateo,115K,,,,,Down 1,,,,,,,,,,,,,,,,,
89,Nina Flowers,105K,,,,,Up 1,,,,,,,,,,,,,,,,,
90,Robbie Turner,104K,,,,,Down 1,,,,,,,,,,,,,,,,,
91,Stacy Layne Matthews,,,,,,,,,,,,,,,,,,,,,,,
92,Jessica Wild,,,,,,,,,,,,,,,,,,,,,,,
93,Naysha Lopez,,,,,,,,,,,,,,,,,,,,,,,
94,Vivacious,,,,,,,,,,,,,,,,,,,,,,,
95,Sonique,,,,,,,,,,,,,,,,,,,,,,,
96,The Princess,,,,,,,,,,,,,,,,,,,,,,,
97,Dax ExclamationPOint,,,,,,,,,,,,,,,,,,,,,,,
98,Sasha Belle,,,,,,,,,,,,,,,,,,,,,,,
99,Mariah Balenciaga,,,,,,,,,,,,,,,,,,,,,,,
100,India Ferrah,,,,,,,,,,,,,,,,,,,,,,,
101,Mimi Imfurst,,,,,,,,,,,,,,,,,,,,,,,
102,Dida Ritz,,,,,,,,,,,,,,,,,,,,,,,
103,Shannel,,,,,,,,,,,,,,,,,,,,,,,
104,Kelly Mantle,,,,,,,,,,,,,,,,,,,,,,,
105,Lineysha Sparx,,,,,,,,,,,,,,,,,,,,,,,
106,Monica Beverly Hillz,,,,,,,,,,,,,,,,,,,,,,,
107,Kenya Michaels,,,,,,,,,,,,,,,,,,,,,,,
108,LaShauwn Beyond,,,,,,,,,,,,,,,,,,,,,,,
109,Honey Mahogany,,,,,,,,,,,,,,,,,,,,,,,
110,Jade Sotomayor,,,,,,,,,,,,,,,,,,,,,,,
111,Vivienne Pinay,,,,,,,,,,,,,,,,,,,,,,,
112,Mystique Summers Madison,,,,,,,,,,,,,,,,,,,,,,,
113,Nicole Paige Brooks,,,,,,,,,,,,,,,,,,,,,,,
114,Serena ChaCha,,,,,,,,,,,,,,,,,,,,,,,
115,"Victoria ""Porkchop"" Parker",,,,,,,,,,,,,,,,,,,,,,,
116,Magnolia Crawford,,,,,,,,,,,,,,,,,,,,,,,
117,Phoenix,,,,,,,,,,,,,,,,,,,,,,,
118,Venus D-Lite,,,,,,,,,,,,,,,,,,,,,,,
119,Madame LaQueer,,,,,,,,,,,,,,,,,,,,,,,
120,Penny Tration,,,,,,,,,,,,,,,,,,,,,,,
121,Rebecca Glasscock,,,,,,,,,,,,,,,,,,,,,,,
122,Milan,,,,,,,,,,,,,,,,,,,,,,,
123,Akashia,,,,,,,,,,,,,,,,,,,,,,,
124,Tyra Sanchez,,,,,,,,,,,,,,,,,,,,,,,
125,Alisa Summers,,,,,,,,,,,,,,,,,,,,,,,
